car_id,charge_type,start_soc,end_soc,soc_quan,start_time,end_time,duration,duration_hour,lines,b_modul_1_temp_avg,b_modul_2_temp_avg,b_modul_3_temp_avg,b_modul_4_temp_avg,b_pack_current_avg,b_pack_volt_avg,source_path,car_type,fast_pack_current_ref,fast_modul_temp_ref,slow_pack_current_ref,slow_modul_temp_ref,fast_slope_1,fast_slope_2,fast_slope_3,slow_slope_1,slow_slope_2,slow_slope_3
M2211122911,slow,64.5,90.5,26.0,2024-06-27 01:06:47,2024-06-27 05:36:52,16205.0,4.501388888888889,1577,28.734305643627145,30.958148383005707,28.03868103994927,29.1572606214331,-6.646797717184527,762.6909321496513,GV60/M2211122911.csv#segment_89,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.775995063252083,5.068305028158265,4.990016638039372
M2211122911,slow,68.0,97.0,29.0,2024-07-20 23:55:18,2024-07-21 05:22:28,19630.0,5.4527777777777775,1963,30.78757004584819,33.63983698420785,29.759042282221092,30.86500254712175,-5.860061130922059,775.2433010697912,GV60/M2211122911.csv#segment_128,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.318390219052471,5.2932992328415045,5.1035116860694485
M2211122911,slow,81.0,97.0,16.0,2024-07-30 01:03:37,2024-07-30 04:43:44,13207.0,3.6686111111111113,1244,32.61575562700965,34.646302250803856,31.30064308681672,31.95418006430868,-5.131028938906752,785.3065112540194,GV60/M2211122911.csv#segment_157,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,4.36132354054668,4.957494425371017,4.712009838819912
M2211122911,slow,78.5,97.0,18.5,2024-08-08 01:43:48,2024-08-08 05:41:06,14238.0,3.955,1423,31.956430077301476,33.3682361208714,30.347856640899508,30.27758257203092,-5.377512297962051,783.1699226985241,GV60/M2211122911.csv#segment_163,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,4.677623261694058,5.073319590995149,4.880021368958419
M2211122911,slow,81.5,97.0,15.5,2024-09-04 01:19:24,2024-09-04 05:27:12,14868.0,4.13,1467,32.79550102249489,34.248807089297884,31.773006134969325,32.36196319018405,-4.448738922972051,786.1977505112475,GV60/M2211122911.csv#segment_200,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,3.7530266343825667,4.920317408156818,4.6685257470330725
M2211122911,slow,70.0,97.0,27.0,2024-09-08 23:49:18,2024-09-09 05:16:18,19620.0,5.45,1910,31.994240837696335,33.29633507853403,30.483769633507855,30.541884816753928,-5.5640314136125655,777.1366492146597,GV60/M2211122911.csv#segment_211,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,4.954128440366972,5.193092777913739,4.990477783264596
M2211122911,slow,48.5,75.0,26.5,2024-09-12 02:20:24,2024-09-12 07:00:34,16810.0,4.669444444444444,1682,30.94470868014269,33.13793103448276,30.414387633769323,31.269916765755053,-6.752556480380499,735.8124851367419,GV60/M2211122911.csv#segment_212,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.675193337299227,4.901859158525535,4.717338316553621
M2211122911,fast,36.0,54.5,18.5,2024-09-26 19:56:36,2024-09-26 20:16:06,1170.0,0.325,91,29.076923076923077,31.417582417582416,28.956043956043956,30.406593406593405,-64.28241758241757,720.0593406593407,GV60/M2211122911.csv#segment_225,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,56.92307692307692,65.81529503154812,66.72446963621967,,,
M2211122911,fast,33.0,87.5,54.5,2024-10-17 22:00:50,2024-10-17 22:35:01,2051.0,0.5697222222222222,162,29.117283950617285,34.2037037037037,28.97530864197531,33.30864197530864,-110.3604938271605,760.2111111111111,GV60/M2211122911.csv#segment_249,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,95.66065333983423,64.42439876833544,64.38861382769292,,,
M2211122911,fast,42.0,59.5,17.5,2024-10-20 18:00:34,2024-10-20 18:11:54,680.0,0.1888888888888888,51,26.725490196078432,30.0,26.823529411764707,29.45098039215686,-98.26274509803925,742.6725490196078,GV60/M2211122911.csv#segment_252,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,92.64705882352945,70.07666268437197,72.24601817645254,,,
M2211122911,slow,37.5,87.5,50.0,2024-10-20 21:23:49,2024-10-21 06:12:55,31746.0,8.818333333333333,3173,25.91270091396155,27.796722344784115,24.565710683895368,25.095808383233532,-6.224803025527891,743.5319571383546,GV60/M2211122911.csv#segment_254,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.67000567000567,5.312589661779405,5.410059597176383
M2211122911,slow,65.0,87.5,22.5,2024-10-22 23:21:39,2024-10-23 03:18:33,14214.0,3.9483333333333337,1332,25.864114114114113,27.704954954954953,24.5990990990991,24.563063063063066,-5.910960960960962,767.2904654654654,GV60/M2211122911.csv#segment_263,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.698607007176023,5.622882519068037,5.735037939752701
M2211122911,slow,44.0,83.5,39.5,2024-10-31 00:55:45,2024-10-31 07:25:47,23402.0,6.500555555555556,2324,25.5012908777969,27.26893287435456,24.17340791738382,24.532702237521516,-6.77276247848537,741.1570137693632,GV60/M2211122911.csv#segment_279,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.07640372617725,5.232740154965973,5.353530077550522
M2220343146,slow,45.0,85.0,40.0,2023-07-16 00:06:24,2023-07-16 05:56:36,21012.0,5.836666666666667,2075,28.9455421686747,30.747951807228915,28.505060240963857,28.9889156626506,-7.868000000000001,742.3495903614457,GV60/M2220343146.csv#segment_1,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.853226727584238,5.0801804834704845,4.997910280041026
M2220343146,slow,62.5,97.0,34.5,2023-08-13 00:23:56,2023-08-13 06:32:48,22132.0,6.147777777777778,2202,31.259309718437784,33.38555858310627,30.190735694822887,31.08219800181653,-6.344459582198001,771.8214804722978,GV60/M2220343146.csv#segment_15,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.611783842400144,5.158871285259686,4.962730086519123
M2220343146,slow,59.5,91.5,32.0,2023-08-19 02:35:16,2023-08-19 07:21:35,17179.0,4.771944444444444,1658,31.7503015681544,33.25211097708082,30.889022919179737,30.916164053075995,-7.616405307599518,761.5062123039805,GV60/M2220343146.csv#segment_20,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,6.705861808021422,5.135147769445135,4.9284854386056125
M2220343146,slow,61.5,97.0,35.5,2023-08-19 23:55:28,2023-08-20 06:20:40,23112.0,6.42,2284,31.47854640980735,33.00744308231173,30.55385288966725,30.746497373029772,-6.362346760070053,771.2239492119089,GV60/M2220343146.csv#segment_22,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.529595015576324,5.069024411389564,4.877965169987216
M2220343146,slow,50.0,96.5,46.5,2023-08-26 23:46:31,2023-08-27 07:34:56,28105.0,7.8069444444444445,2756,31.480406386066765,33.2645137880987,30.433962264150946,30.920174165457183,-6.787191582002903,762.1120101596517,GV60/M2220343146.csv#segment_25,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.956235545276641,5.118351987177255,4.921432027139867
M2220343146,slow,72.0,97.0,25.0,2023-09-01 02:12:03,2023-09-01 06:47:10,16507.0,4.585277777777778,1653,31.15003024803388,33.39987900786449,29.949788263762855,30.333333333333332,-5.901633393829402,780.7561403508771,GV60/M2220343146.csv#segment_29,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.452232386260374,5.388284562084385,5.19803366901903
M2220343146,slow,69.5,97.0,27.5,2023-09-14 01:20:33,2023-09-14 06:04:42,17049.0,4.735833333333333,1694,28.95159386068477,31.520070838252657,28.156434474616297,28.939787485242032,-6.508323494687131,776.8674734356553,GV60/M2220343146.csv#segment_42,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.806792187225057,5.203739475487553,5.114519340389846
M2220343146,fast,21.0,78.5,57.5,2023-09-24 08:07:04,2023-09-24 08:34:24,1640.0,0.4555555555555555,148,36.520270270270274,43.648648648648646,37.01351351351352,42.858108108108105,-167.88986486486488,757.2662162162162,GV60/M2220343146.csv#segment_58,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,126.21951219512196,55.87694898550661,51.03552080185672,,,
M2220343146,fast,33.0,78.0,45.0,2023-09-24 11:31:19,2023-09-24 11:48:09,1010.0,0.2805555555555555,92,34.16304347826087,37.92391304347826,34.27173913043478,37.369565217391305,-201.32608695652175,753.8673913043477,GV60/M2220343146.csv#segment_60,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,160.39603960396042,59.21398031098058,56.49820436158292,,,
M2220343146,slow,70.5,97.0,26.5,2023-09-29 23:09:39,2023-09-30 04:18:20,18521.0,5.144722222222223,1854,29.68824163969795,31.949298813376483,29.307443365695793,30.436893203883496,-6.066396979503776,777.5146709816612,GV60/M2220343146.csv#segment_75,GV60,-74.32427246062682,31.345688934062743,-5.832414661412422,27.677432812053024,,,,5.150909778089735,4.952238010609157,4.820110495711777
